ChickID,Nest,Date,ToeNail,Mass_total,mass_bag,Mass_net,S_T,Tar,Treatment_Type
AG2,AG,2018-09-26,TN2,39,10,29,21.44,25.3,Control
AG2,AG,2018-09-27,TN2,39,11,28,21.32,24.93,Control
AG5,AG,2018-09-30,TN5,37,11,26,21.76,23.83,Control
AG5,AG,2018-10-01,TN5,36,11,25,22.51,23.69,Control
AG5,AG,2018-10-02,TN5,40,11,29,22.36,23.71,Control
AG6,AG,2018-10-02,TN6,33,11,22,21.73,21.59,Control
AG6,AG,2018-10-03,TN6,32,11,21,22.46,23.06,Control
AG7,AG,2018-10-02,TN7,34,11,23,22.12,21.11,Control
AV1,AV,2018-10-01,TN1,38,11,27,21.52,23.88,Control
AV1,AV,2018-10-02,TN1,37,12,25,21.01,23.71,Control
AV1,AV,2018-10-03,TN1,40,11,29,21.44,22.34,Control
AV2,AV,2018-10-02,TN2,40,12,28,22.49,24.56,Control
AV2,AV,2018-10-03,TN2,36,11,25,22.58,22.83,Control
AV2,AV,2018-10-04,TN2,35,11,24,22.06,22.44,Control
AV2,AV,2018-10-07,TN2,40,11,29,22.44,24.92,Control
AV2,AV,2018-10-23,TN2,135,11,124,29.55,41.02,Control
AV6,AV,2018-10-04,TN6,36,11,25,22.19,24.08,Control
AX11,AX,2018-10-10,TN11,34,10,24,21.62,19.93,Experimental
AX4,AX,2018-09-30,TN4,38,11,27,22.41,24.69,Experimental
